BTC;1182
ETH;7605
LTC;3808
DASH;3807
XMR;5038
NXT;1183
ETC;5324
DOGE;4432
ZEC;24854
BTS;5039
DGB;4430
XRP;5031
BTCD;4400
PPC;2349
CRAIG;4425
XBS;5023
XPY;5030
PRC;3638
YBC;3639
DANK;3640
GIVE;3641
KOBO;3642
DT;3643
CETI;3644
SUP;3645
XPD;3646
GEO;3647
CHASH;3648
SPR;3649
NXTI;3650
WOLF;3653
XDP;3655
2015;3744
42;4321
AC;4322
ACOIN;4323
AERO;4324
ALF;4325
AGS;4326
AMC;4327
ALN;4328
ANNC;4329
APEX;4330
ARCH;4331
ARG;4371
ARI;4332
AUR;4333
AXR;4334
BCX;4335
BEN;4336
BET;4337
BITB;4338
BLU;4340
BLK;4339
BOST;4342
BQC;4343
XMY;4345
MOON;4346
ZET;4347
SXC;4348
QTL;4349
ENRG;4350
QRK;4351
RIC;4352
DGC;4353
LIMX;4354
BTB;4399
CAIX;4406
BTE;4401
BTG*;4402
BTM;4403
BUK;4404
CACH;4405
CANN;4407
CAP;4408
CASH;4409
CBX;4411
CCN;4412
CIN;4413
CINNI;4414
CXC;4415
CLAM;4416
CLOAK;4417
CLR;4418
CMC;4419
CNC;4420
CNL;4421
COMM;4422
COOL;4423
CRACK;4424
CRC;4426
CRYPT;4427
CSC;4428
DEM;4429
DMD;4431
XVG;4433
DRKC;4434
DSB;4435
DVC;4436
EAC;4437
EFL;4438
ELC;4439
EMC2;4440
EMD;4441
EXCL;4442
EXE;4443
EZC;4444
FLAP;4445
FC2;4446
FFC;4447
FIBRE;4448
FRC;4521
FLT;4449
FRK;4522
FRAC;4450
FST;4523
FTC;4524
GDC;4526
GLC;4527
GLD;4528
GLX;4529
GLYPH;4530
GML;4531
GUE;4532
HAL;4533
HBN;4534
HUC;4535
HVC;4536
HYP;4537
ICB;4538
IFC;4539
IOC;4540
IXC;4541
JBS;4542
JKC;4543
JUDGE;4544
KDC;4545
KEY;4546
KGC;4547
LAB;4548
LGD*;4549
LK7;4550
LKY;4551
LSD;4552
LTB;4553
LTCD;4554
LTCX;4555
LXC;4556
LYC;4557
MAX;4558
MEC;4559
MED;4560
MIN;4561
MINT;4562
MN;4563
MNC;4564
MRY;4566
MYST*;4567
MZC;4568
NAN;4569
NAUT;4570
NAV;4571
NBL;4572
NEC;4573
NET;4574
NMB;4575
NRB;4576
NOBL;4577
NRS;4578
NVC;4579
NMC;4580
NYAN;4581
OPAL;4582
ORB;4583
OSC;4584
PHS;4585
POINTS;4586
POT;4587
PSEUD;4588
PTS*;4589
PXC;4590
PYC;4591
RDD;4592
RIPO;4593
RPC;4594
RT2;4595
RYC;4596
RZR;4597
SAT2;4598
SBC;4599
SDC;4600
SFR;4601
SHADE;4602
SHLD;4603
SILK;4604
SLG;4605
SMC;4606
SOLE;4607
SPA;4608
SPT;4609
SRC;4611
SSV;4613
XLM;4614
SUPER;4615
SWIFT;4616
SYNC;4617
SYS;4618
TAG;4619
TAK;4620
TES;4622
TGC;4623
TIT;4624
TOR;4625
TRC;4626
TTC;4627
ULTC;4628
UNB;4629
UNO;4630
URO;4631
USDE;5011
UTC;5012
UTIL;5013
VDO;5014
VIA;5015
VOOT;5016
VRC;5017
VTC;5018
WC;5019
WDC;5020
XAI;5021
XBOT;5022
XC;5024
XCASH;5025
XCR;5026
XJO;5027
XLB;5028
XPM;5029
XST;5032
XXX;5033
YAC;5034
ZCC;5035
ZED;5036
ZRC*;5037
BCN;5280
EKN;5281
XDN;5282
XAU;5283
TMC;5284
XEM;5285
BURST;5286
NBT;5287
SJCX;5288
START;5289
HUGE;5290
XCP;5292
MAID;5293
7;5294
NSR;5295
MONA;5296
CELL;5297
TEK;5298
TRON;5299
BAY;5300
NTRN;5301
SLING;5302
XVC;5303
CRAVE;5304
BLOCK;5305
XSI;5306
GHS;5307
BYC;5308
GRC;5309
GEMZ;5310
KTK;5311
HZ;5312
FAIR;5313
QORA;5314
NLG;5315
RBY;5316
PTC;5317
KORE;5318
WBB;5319
SSD;5320
XTC;5321
NOTE;5322
GRID;5323
FLO;5325
MMXIV;5326
8BIT;5327
STV;5328
EBS;5329
AM;5330
XMG;5331
AMBER;5332
JPC;5333
NKT;5334
J;5335
GHC;5336
DTC*;5337
ABY;5338
LDOGE;5339
MTR;5340
TRI;5341
SWARM;5342
BBR;5343
BTCRY;5344
BCR;5345
XPB;5346
XDQ;5347
FLDC;5348
SLR;5349
SMAC;5350
TRK;5351
U;5352
UIS;5353
CYP;5354
UFO;5355
ASN;5356
OC;5357
GSM;5358
FSC2;5359
NXTTY;5360
QBK;5361
BLC;5362
MARYJ;5363
OMC;5365
GIG;5366
CC;5367
BITS;5368
LTBC;5369
NEOS;5370
HYPER;5371
VTR;5372
METAL;5373
PINK;5374
GRE;5375
XG;5376
CHILD;5377
BOOM;5378
MINE;5379
ROS;5380
UNAT;5381
SLM;5382
GAIA;5383
TRUST;5384
FCN;5385
XCN;5386
CURE;5387
GMC;5388
MMC;5389
XBC;5391
CYC;5392
OCTO;5393
MSC;5394
EGG;5395
C2;5396
GSX;5397
CAM;5398
RBR;5399
XQN;5400
ICASH;5401
NODE;5402
SOON;5403
BTMI;5404
EVENT;5405
1CR;5406
VIOR;5407
XCO;5408
VMC;5409
MRS;5410
VIRAL;6088
EQM;6093
ISL;6094
QSLV;6095
XWT;6096
XNA;6097
RDN;6098
SKB;6099
BSTY;6100
FCS;6101
GAM;6102
NXS;6103
CESC;6104
TWLV;6105
EAGS;6106
MWC;6107
ADC;6108
MARS;6109
XMS;6110
SPHR;6111
SIGU;6112
BTX*;6113
DCC;6114
M1;6115
DB;6116
CTO;6117
EDGE;6339
LUX*;6341
FUTC;6343
GLOBE;6393
TAM;6411
MRP;6412
CREVA;6451
XFC;6452
